# Class                                                                Module
TradeItem                                                              RiskAPI
TradeKey                                                               RiskAPI
TradeOpenQuantity                                                      MiddleOfficeAPI
TradePrice                                                             MarketDataAPI
TradeRetriever                                                         CoreAPI
TradeRoleAllocation                                                    CoreAPI
TradeSQL                                                               CoreAPI
TradeWinClassConfig                                                    RefDataAPI
TriangulationCcyRuleSet                                                RefDataAPI
UserAccessDiff                                                         RefDataAPI
UserAccessPermission                                                   RefDataAPI
WithholdingTaxAttribute                                                RefDataAPI
