Interval in ms:
300
QuoteAddress|Type|param name|min|max|param name|min|max|param name|min|max|param name|min|max|param name|min|max|param name|min|max|param name|min|max
FX.USD.CAD.1W|Price|BID|1.78|1.85|ASK|1.88|1.95|OPEN|1.70|1.70|CLOSE|1.94|1.94|LAST|1.76|1.76|HIGH|1.94|1.94|LOW|1.94|1.94
FX.USD.CAD.1Y|Price|BID|91.40|92.50|ASK|93.20|93.50|OPEN|90.50|90.50|CLOSE|93.25|93.25|LAST|86.15|86.15|HIGH|93.25|93.25|LOW|93.25|93.25
FX.USD.CAD.3M|Price|BID|23.45|23.56|ASK|23.75|23.89|OPEN|23.23|23.23|CLOSE|23.88|23.88|LAST|21.63|21.63|HIGH|23.88|23.88|LOW|23.88|23.88
FX.USD.CAD.6M|Price|BID|46.19|46.68|ASK|47.40|47.58|OPEN|45.50|45.50|CLOSE|47.00|47.00|LAST|44.60|44.60|HIGH|47.00|47.00|LOW|47.00|47.00
FX.USD.CAD.9M|Price|BID|68.60|70.00|ASK|69.97|70.25|OPEN|66.75|66.75|CLOSE|65.25|65.25|LAST|66.98|66.98|HIGH|65.25|65.25|LOW|65.25|65.25
FX.USD.CAD.ON|Price|BID|0.82|0.82|ASK|0.86|0.86|OPEN|0.09|0.09|CLOSE|0.96|0.96|LAST|0.09|0.09|HIGH|0.96|0.96|LOW|0.96|0.96
FX.USD.CAD.TN|Price|BID|0.25|0.28|ASK|0.27|0.29|OPEN|0.14|0.14|CLOSE|0.77|0.77|LAST|0.14|0.14|HIGH|0.77|0.77|LOW|0.77|0.77
FX.USD.CAD|Price|BID|1.0577|1.0581|ASK|1.0582|1.0610|OPEN|1.0510|1.0510|CLOSE|1.0608|1.0608|LAST|1.0507|1.0507|HIGH|1.0608|1.0608|LOW|1.0608|1.0608
FX.USD.CHF|Price|BID|0.9612|0.9618|ASK|0.9620|0.9626|OPEN|0.9560|0.9560|CLOSE|0.9569|0.9569|LAST|0.9605|0.9605|HIGH|0.9569|0.9569|LOW|0.9569|0.9569
FX.USD.CHF.3M|Price|BID|-8.79|-8.82|ASK|-7.31|-7.44|OPEN|-8.3|-8.3|CLOSE|-7.63|-7.63|LAST|-7.97|-7.97|HIGH|-7.63|-7.63|LOW|-7.63|-7.63
FX.USD.CHF.1Y|Price|BID|-53.83|-53.89|ASK|-48.78|-48.82|OPEN|-54.96|-54.96|CLOSE|-52.00|-52.00|LAST|-50.00|-50.00|HIGH|-52.00|-52.00|LOW|-52.00|-52.00
FX.USD.CHF.2Y|Price|BID|-143.52|-145.75|ASK|-125.67|-130.12|OPEN|-146.84|-146.84|CLOSE|-140.50|-140.50|LAST|-143.41|-143.41|HIGH|-140.50|-140.50|LOW|-140.50|-140.50
FX.USD.CLP|Price|BID|505.5|505.63|ASK|505.7|505.83|OPEN|504.2|504.2|CLOSE|505.79|505.79|LAST|503.85|503.85|HIGH|505.79|505.79|LOW|505.79|505.79
FX.USD.CLP.1M|Price|BID|2.18|2.27|ASK|2.93|3.44|OPEN|2.98|2.98|CLOSE|3.7|3.7|LAST|4|4|HIGH|3.7|3.7|LOW|3.7|3.7
FX.USD.CLP.1W|Price|BID|1.22|1.34|ASK|1.42|1.5|OPEN|1.23|1.23|CLOSE|1.45|1.45|LAST|1.98|1.98|HIGH|1.45|1.45|LOW|1.45|1.45
FX.USD.CLP.2M|Price|BID|4.48|4.5|ASK|5.23|5.4|OPEN|5.45|5.45|CLOSE|3.33|3.33|LAST|6|6|HIGH|3.33|3.33|LOW|3.33|3.33
FX.USD.CLP.3M|Price|BID|6.73|6.77|ASK|7.48|7.58|OPEN|6.56|6.56|CLOSE|7.4|7.4|LAST|11.2|11.2|HIGH|7.4|7.4|LOW|7.4|7.4
FX.USD.CLP.TN|Price|BID|0.87|0.92|ASK|0.67|0.73|OPEN|0.66|0.66|CLOSE|0.56|0.56|LAST|0.82|0.82|HIGH|0.56|0.56|LOW|0.56|0.56
FX.USD.CLP.ON|Price|BID|0.65|0.69|ASK|0.59|0.64|OPEN|0.43|0.43|CLOSE|0.76|0.76|LAST|0.85|0.85|HIGH|0.76|0.76|LOW|0.76|0.76
FX.USD.INR|Price|BID|59.64|59.73|ASK|59.65|59.75|OPEN|59.715|59.715|CLOSE|59.87|59.87|LAST|59.49|59.49|HIGH|59.87|59.87|LOW|59.87|59.87
FX.USD.INR.6M|Price|BID|258.5|259.2|ASK|261.5|263.4|OPEN|256|256|CLOSE|259.5|259.5|LAST|251|252|HIGH|259.5|259.5|LOW|259.5|259.5
FX.USD.INR.1M|Price|BID|43.75|44.2|ASK|45.75|46.8|OPEN|44.25|44.25|CLOSE|42.5|42.5|LAST|44.98|44.98|HIGH|42.5|42.5|LOW|42.5|42.5
FX.USD.INR.1W|Price|BID|23.76|24.1|ASK|22.98|23.3|OPEN|28.8|28.8|CLOSE|21.2|21.2|LAST|20|20|HIGH|21.2|21.2|LOW|21.2|21.2
FX.USD.INR.2M|Price|BID|85.5|86.7|ASK|87.5|89.2|OPEN|86.25|86.25|CLOSE|83.25|83.25|LAST|85.32|85.32|HIGH|83.25|83.25|LOW|83.25|83.25
FX.USD.INR.3M|Price|BID|126.75|127.44|ASK|128.75|130.2|OPEN|126|126|CLOSE|127.25|127.25|LAST|124|124|HIGH|127.25|127.25|LOW|127.25|127.25
FX.USD.INR.TN|Price|BID|1.1|1.15|ASK|1.2|1.24|OPEN|1.1|1.1|CLOSE|1|1|LAST|0.98|0.98|HIGH|1|1|LOW|1|1
FX.USD.INR.ON|Price|BID|1.05|1.09|ASK|1.15|1.22|OPEN|1.12|1.12|CLOSE|0.9|0.9|LAST|1.2|1.2|HIGH|0.9|0.9|LOW|0.9|0.9
FX.USD.HKD|Price|BID|7.7575|7.7582|ASK|7.7585|7.7596|OPEN|7.7585|7.7585|CLOSE|7.7566|7.7566|LAST|7.7571|7.7571|HIGH|7.7566|7.7566|LOW|7.7566|7.7566
FX.USD.HKD.6M|Price|BID|-44.5|-44.9|ASK|-38.5|-39.2|OPEN|-39.86|-39.86|CLOSE|-38|-38|LAST|-46.6|-46.6|HIGH|-38|-38|LOW|-38|-38
FX.USD.HKD.1M|Price|BID|-10.8|-12.11|ASK|-9.2|-10.45|OPEN|-9.15|-9.15|CLOSE|-6|-6|LAST|-11.5|-11.5|HIGH|-6|-6|LOW|-6|-6
FX.USD.HKD.1W|Price|BID|-2.8|-3.2|ASK|-2.1|-2.87|OPEN|-2.79|-2.79|CLOSE|-2.29|-2.29|LAST|-4.56|-4.56|HIGH|-2.29|-2.29|LOW|-2.29|-2.29
FX.USD.HKD.2M|Price|BID|-18.8|-20.25|ASK|-15.8|-15.91|OPEN|-15.91|-15.91|CLOSE|-14.31|-14.31|LAST|-20.25|-20.25|HIGH|-14.31|-14.31|LOW|-14.31|-14.31
FX.USD.HKD.3M|Price|BID|-26|-27|ASK|-23|-25|OPEN|-22.41|-22.41|CLOSE|-21|-21|LAST|-27|-0.22|HIGH|-21|-21|LOW|-21|-21
FX.USD.HKD.TN|Price|BID|-0.5|-0.58|ASK|-0.3|-0.38|OPEN|-0.55|-0.55|CLOSE|-0.82|-0.82|LAST|-0.22|-0.22|HIGH|-0.82|-0.82|LOW|-0.82|-0.82
FX.USD.HKD.ON|Price|BID|-0.51|-0.6|ASK|-0.4000|-0.5600|OPEN|-0.1000|-0.1000|CLOSE|-1.2000|-1.2000|LAST|-0.5900|-0.5900|HIGH|-1.2000|-1.2000|LOW|-1.2000|-1.2000
FX.USD.HKD.1Y|Price|BID|-66.8000|-70.0000|ASK|-56.2000|-58.2000|OPEN|-60.9000|-60.9000|CLOSE|-57.0000|-57.0000|LAST|-75.5000|-75.5000|HIGH|-57.0000|-57.0000|LOW|-57.0000|-57.0000
FX.USD.JPY.1M|Price|BID|-1.48|-1.51|ASK|-1.39|-1.42|OPEN|-1.4|-1.4|CLOSE|-0.08|-0.08|LAST|-2.18|-2.18|HIGH|-0.08|-0.08|LOW|-0.08|-0.08
FX.USD.JPY.1W|Price|BID|-0.35|-0.38|ASK|-0.34|-0.36|OPEN|-0.36|-0.36|CLOSE|-0.26|-0.26|LAST|-0.51|-0.51|HIGH|-0.26|-0.26|LOW|-0.26|-0.26
FX.USD.JPY.1Y|Price|BID|-43|-43.6|ASK|-41.4|-41.54|OPEN|-43.51|-43.51|CLOSE|-40.7|-40.7|LAST|-45.5|-45.5|HIGH|-40.7|-40.7|LOW|-40.7|-40.7
FX.USD.JPY.3M|Price|BID|-5.10|-5.14|ASK|-4.84|-4.9|OPEN|-5.06|-5.06|CLOSE|-4.73|-4.73|LAST|-5.99|-5.99|HIGH|-4.73|-4.73|LOW|-4.73|-4.73
FX.USD.JPY.6M|Price|BID|-14.21|-14.29|ASK|-13.7|-13.6|OPEN|-14.17|-14.17|CLOSE|-13|-13|LAST|-16.73|-16.73|HIGH|-13|-13|LOW|-13|-13
FX.USD.JPY.9M|Price|BID|-26.64|-26.68|ASK|-24.7|-25.6|OPEN|-25.9|-25.9|CLOSE|-24.5|-24.5|LAST|-29.25|-29.25|HIGH|-24.5|-24.5|LOW|-24.5|-24.5
FX.USD.JPY.ON|Price|BID|-0.135|-0.49|ASK|0.23|0.3|OPEN|-0.36|-0.36|CLOSE|-0.001|-0.001|LAST|-0.58|-0.58|HIGH|-0.001|-0.001|LOW|-0.001|-0.001
FX.USD.JPY.TN|Price|BID|-0.087|-0.092|ASK|-0.054|-0.063|OPEN|-0.212|-0.212|CLOSE|-0.02|-0.02|LAST|-0.212|-0.212|HIGH|-0.02|-0.02|LOW|-0.02|-0.02
FX.USD.JPY|Price|BID|100.83|100.87|ASK|100.88|100.94|OPEN|100.03|100.03|CLOSE|101.13|101.13|LAST|99.86|99.86|HIGH|101.13|101.13|LOW|101.13|101.13
FX.USD.KRW|Price|BID|1117.2000|1118.4000|ASK|1118.1000|1119.3000|OPEN|1115.1000|1115.1000|CLOSE|1117.1600|1117.1600|LAST|1114.3000|1114.3000|HIGH|1117.1600|1117.1600|LOW|1117.1600|1117.1600
FX.USD.KRW.1M|Price|BID|95.0000|95.7000|ASK|285.0000|288.0000|OPEN|80.0000|80.0000|CLOSE|95.0000|95.0000|LAST|80.0000|80.0000|HIGH|95.0000|95.0000|LOW|95.0000|95.0000
FX.USD.KRW.1W|Price|BID|45.0000|45.9000|ASK|55.0000|57.0000|OPEN|34.3000|34.3000|CLOSE|20.0000|20.0000|LAST|40.5000|40.5000|HIGH|20.0000|20.0000|LOW|20.0000|20.0000
FX.USD.KRW.3M|Price|BID|205.0000|212.0000|ASK|825.0000|835.0000|OPEN|160.0000|160.0000|CLOSE|205.0000|205.0000|LAST|170.0000|170.0000|HIGH|205.0000|205.0000|LOW|205.0000|205.0000
FX.USD.KRW.2M|Price|BID|150.0000|155.0000|ASK|555.0000|563.0000|OPEN|115.0000|115.0000|CLOSE|155.0000|155.0000|LAST|125.0000|125.0000|HIGH|155.0000|155.0000|LOW|155.0000|155.0000
FX.USD.KRW.6M|Price|BID|470.00|473.00|ASK|1330.00|1338.00|OPEN|470.00|470.00|CLOSE|470.00|470.00|LAST|470.00|470.00|HIGH|470.00|470.00|LOW|470.00|470.00
FX.USD.KRW.TN|Price|BID|4.0000|4.4000|ASK|10.0000|12.0000|OPEN|4.0000|4.0000|CLOSE|5.0000|5.0000|LAST|7.0000|7.0000|HIGH|5.0000|5.0000|LOW|5.0000|5.0000
FX.USD.KRW.ON|Price|BID|4.0000|4.3000|ASK|11.0000|15.0000|OPEN|4.0000|4.0000|CLOSE|5.6000|5.6000|LAST|7.0000|7.0000|HIGH|5.6000|5.6000|LOW|5.6000|5.6000
FX.USD.MXN|Price|BID|12.5065|12.5078|ASK|12.5165|12.5277|OPEN|12.4990|12.4990|CLOSE|12.5360|12.5360|LAST|12.4885|12.4885|HIGH|12.5360|12.5360|LOW|12.5360|12.5360
FX.USD.MXN.1M|Price|BID|0.036300|0.037300|ASK|0.038500|0.039500|OPEN|0.038500|0.038500|CLOSE|0.033100|0.033100|LAST|0.038000|0.038000|HIGH|0.033100|0.033100|LOW|0.033100|0.033100
