Interval in ms:
5000
QuoteAddress|Type|param name|min|max|param name|min|max|param name|min|max|param name|min|max
FX_GBP_USD_TN|Price|BID|1.6726|1.6737|ASK|1.6735|1.6746|OPEN|1.6745|1.6758|CLOSE|1.6632|1.6732
FX_GBP_USD_O/N|Price|BID|1.6726|1.6737|ASK|1.6735|1.6746|OPEN|1.6745|1.6758|CLOSE|1.6632|1.6732
FX_GBP_USD_T/N|Price|BID|1.6726|1.6737|ASK|1.6735|1.6746|OPEN|1.6745|1.6758|CLOSE|1.6632|1.6732
FX_GBP_USD|Price|BID|1.6726|1.6737|ASK|1.6735|1.6746|OPEN|1.6745|1.6758|CLOSE|1.6632|1.6732
FX_GBP_USD_1W|Price|BID|1.6626|1.6637|ASK|1.6635|1.6646|OPEN|1.6645|1.6658|CLOSE|1.6532|1.6632
FX_GBP_USD_1M|Price|BID|1.6626|1.6637|ASK|1.6635|1.6646|OPEN|1.6645|1.6658|CLOSE|1.6532|1.6632
FX_GBP_USD_2M|Price|BID|1.6576|1.6587|ASK|1.6585|1.6596|OPEN|1.6595|1.6608|CLOSE|1.6482|1.6582
FX_GBP_USD_3M|Price|BID|1.6526|1.6537|ASK|1.6535|1.6546|OPEN|1.6545|1.6568|CLOSE|1.6442|1.6542
FX_GBP_USD_6M|Price|BID|1.6426|1.6437|ASK|1.6435|1.6446|OPEN|1.6445|1.6468|CLOSE|1.6442|1.6442
FX_GBP_USD_9M|Price|BID|1.6226|1.6237|ASK|1.6235|1.6246|OPEN|1.6245|1.6268|CLOSE|1.6242|1.6242
FX_GBP_USD_1Y|Price|BID|1.6026|1.6037|ASK|1.6035|1.6046|OPEN|1.6045|1.6068|CLOSE|1.6042|1.6042
FX.GBP.CHF|Price|BID|.4726|.4737|ASK|.4735|.4746|OPEN|.4745|.4758|CLOSE|.4632|.4732
FX_GBP_CHF|Price|BID|.4726|.4737|ASK|.4735|.4746|OPEN|.4745|.4758|CLOSE|.4632|.4732
FX_GBP_CHF_1M|Price|BID|.4626|.4637|ASK|.4635|.4646|OPEN|.4645|.4658|CLOSE|.4532|.4632
FX_GBP_CHF_2M|Price|BID|.4576|.4587|ASK|.4585|.4596|OPEN|.4595|.4608|CLOSE|.4482|.4582
FX_GBP_CHF_3M|Price|BID|.4526|.4537|ASK|.4535|.4546|OPEN|.4545|.4568|CLOSE|.4442|.4542
FX_GBP_CHF_6M|Price|BID|.4426|.4437|ASK|.4435|.4446|OPEN|.4445|.4468|CLOSE|.4442|.4442
FX_GBP_CHF_9M|Price|BID|.4226|.4237|ASK|.4235|.4246|OPEN|.4245|.4268|CLOSE|.4242|.4242
FX_USD_JPY_ON|Price|BID|1|2|ASK|1|2|OPEN|1|2|CLOSE|1|2
FX_USD_JPY_TN|Price|BID|1|3|ASK|2|4|OPEN|1|2|CLOSE|1|3
FX_USD_JPY_O/N|Price|BID|1|2|ASK|1|2|OPEN|1|2|CLOSE|1|2
FX_USD_JPY_T/N|Price|BID|1|3|ASK|2|4|OPEN|1|2|CLOSE|1|3
FX_USD_JPY_1W|Price|BID|3|5|ASK|4|6|OPEN|3|5|CLOSE|3|5
FX_USD_JPY_1M|Price|BID|5|7|ASK|6|8|OPEN|5|7|CLOSE|5|7
FX_USD_JPY_3M|Price|BID|7|9|ASK|8|10|OPEN|7|9|CLOSE|1|2
FX_USD_JPY_6M|Price|BID|9|11|ASK|10|12|OPEN|1|2|CLOSE|1|2
FX_USD_JPY_9M|Price|BID|10|12|ASK|11|13|OPEN|1|2|CLOSE|1|2
FX_USD_JPY_1Y|Price|BID|12|14|ASK|13|15|OPEN|1|2|CLOSE|1|2
USD/JPY 1D ATM|Yield|BID|0.01|0.11|ASK|0.01|0.11|OPEN|0.01|0.11|CLOSE|0.01|0.11
USD/JPY 4D ATM|Yield|BID|0.01|0.11|ASK|0.01|0.11|OPEN|0.01|0.11|CLOSE|0.01|0.11
USD/JPY 5D ATM|Yield|BID|0.01|0.11|ASK|0.01|0.11|OPEN|0.01|0.11|CLOSE|0.01|0.11
USD/JPY 6D ATM|Yield|BID|0.01|0.11|ASK|0.01|0.11|OPEN|0.01|0.11|CLOSE|0.01|0.11
USD/JPY 1W ATM|Yield|BID|0.01|0.11|ASK|0.01|0.11|OPEN|0.01|0.11|CLOSE|0.01|0.11
USD/JPY 2W ATM|Yield|BID|0.01|0.11|ASK|0.01|0.11|OPEN|0.01|0.11|CLOSE|0.01|0.11
USD/JPY 15D ATM|Yield|BID|0.01|0.11|ASK|0.01|0.11|OPEN|0.01|0.11|CLOSE|0.01|0.11
FX.EUR.JPY|Price|BID|140.640|140.940|ASK|140.945|140.015|OPEN|140.832|140.010|CLOSE|140.622|140.821	
FX_EUR_JPY|Price|BID|140.640|140.940|ASK|140.945|140.015|OPEN|140.832|140.010|CLOSE|140.622|140.821
FX_EUR_JPY_ON|Price|BID|1|2|ASK|1|2|OPEN|1|2|CLOSE|1|2
FX_EUR_JPY_TN|Price|BID|1|3|ASK|2|4|OPEN|1|2|CLOSE|1|3
FX_EUR_JPY_O/N|Price|BID|1|2|ASK|1|2|OPEN|1|2|CLOSE|1|2
FX_EUR_JPY_T/N|Price|BID|1|3|ASK|2|4|OPEN|1|2|CLOSE|1|3
FX_EUR_JPY_1W|Price|BID|3|5|ASK|4|6|OPEN|3|5|CLOSE|3|5
FX_EUR_JPY_1M|Price|BID|5|7|ASK|6|8|OPEN|5|7|CLOSE|5|7
FX_EUR_JPY_3M|Price|BID|7|9|ASK|8|10|OPEN|7|9|CLOSE|1|2
FX_EUR_JPY_6M|Price|BID|9|11|ASK|10|12|OPEN|1|2|CLOSE|1|2
FX_EUR_JPY_9M|Price|BID|10|12|ASK|11|13|OPEN|1|2|CLOSE|1|2
FX_EUR_JPY_1Y|Price|BID|12|14|ASK|13|15|OPEN|1|2|CLOSE|1|2
FX.USD.CAD|Price|BID|1.33470|1.34400|ASK|1.33530|1.34460|OPEN|1.33530|1.34460|CLOSE|1.33530|1.34460
FX_USD_CAD|Price|BID|1.33470|1.34400|ASK|1.33530|1.34460|OPEN|1.33530|1.34460|CLOSE|1.33530|1.34460
FX_USD_CAD_ON|Price|BID|1|2|ASK|1|2|OPEN|1|2|CLOSE|1|2
FX_USD_CAD_TN|Price|BID|1|3|ASK|2|4|OPEN|1|2|CLOSE|1|3
FX_USD_CAD_O/N|Price|BID|1|2|ASK|1|2|OPEN|1|2|CLOSE|1|2
FX_USD_CAD_T/N|Price|BID|1|3|ASK|2|4|OPEN|1|2|CLOSE|1|3
FX_USD_CAD_1W|Price|BID|3|5|ASK|4|6|OPEN|3|5|CLOSE|3|5
FX_USD_CAD_1M|Price|BID|5|7|ASK|6|8|OPEN|5|7|CLOSE|5|7
FX_USD_CAD_3M|Price|BID|7|9|ASK|8|10|OPEN|7|9|CLOSE|1|2
FX_USD_CAD_6M|Price|BID|9|11|ASK|10|12|OPEN|1|2|CLOSE|1|2
FX_USD_CAD_9M|Price|BID|10|12|ASK|11|13|OPEN|1|2|CLOSE|1|2
FX_USD_CAD_1Y|Price|BID|12|14|ASK|13|15|OPEN|1|2|CLOSE|1|2
FX.USD.HKD|Price|BID|7.79700|7.79960|ASK|7.79800|7.80070|OPEN|7.79700|7.79960|CLOSE|7.79800|7.80070
FX_USD_HKD|Price|BID|7.79700|7.79960|ASK|7.79800|7.80070|OPEN|7.79700|7.79960|CLOSE|7.79800|7.80070
MM.USD.LIBOR.ON.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.TON.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.1W.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.2W.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.3W.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.1M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.2M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.3M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.4M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.5M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.6M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.7M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.8M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.9M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.10M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.11M.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.1Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.2Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.3Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.4Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.5Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.6Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.7Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.8Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.9Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.10Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.12Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.15Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.20Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.25Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.30Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.40Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.50Y.USD.LIBOR.3M/1Y.T3750|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.ON.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.TON.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.1W.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.2W.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.3W.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.1M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.2M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.3M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.4M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.5M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.7M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.8M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.9M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.10M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.11M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
MM.USD.LIBOR.1Y.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.1Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.2Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.3Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.4Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.5Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.6Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.7Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.8Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.9Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.10Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.12Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.15Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.20Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.25Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.30Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.40Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
Swap.50Y.USD.LIBOR.3M/6M.LIBOR01|Yield|BID|.05|.06|ASK|.05|.06|OPEN|.05|.06|CLOSE|.05|.06
SWAPTION.USD.Rec.1M/1Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1M/2Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1M/3Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1M/4Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1M/5Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1M/7Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1M/10Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3M/1Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3M/2Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3M/3Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3M/4Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3M/5Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3M/7Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3M/10Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.6M/1Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.6M/2Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.6M/3Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.6M/4Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.6M/5Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.6M/7Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.6M/10Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1Y/1Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1Y/2Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1Y/3Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1Y/4Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1Y/5Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1Y/7Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.1Y/10Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.2Y/1Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.2Y/2Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.2Y/3Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.2Y/4Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.2Y/5Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.2Y/7Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.2Y/10Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3Y/1Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3Y/2Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3Y/3Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
SWAPTION.USD.Rec.3Y/4Y.LIBOR.3M.3750.R0.0|Yield|BID|.15|.16|ASK|.15|.16|OPEN|.15|.16|CLOSE|.15|.16
